Beverly Hills Cop,Eddie Murphy; Judge Reinhold,,Comedy; Drama; Cops
Beverly Hills Cop II,Eddie Murphy; Judge Reinhold,,Comedy; Drama; Cops
Beverly Hills Cop III,Eddie Murphy; Judge Reinhold,,Comedy; Drama; Cops
Beyond the Reach,Michael Douglas; Jeremy Irvine,,Western; murder/sociopath
Beyond the Sea,Kevin Spacey; John Goodman,,Musical; Bobby Darin Story
Big Bus,,,Comedy
Big Chill,Glenn Close; Jo Beth Williams; Mary Kay Place; Kevin Kline; William Hurt; Jeff Goldblum; Tom Berenger; Meg Tilly,Laurence Kasdan,Drama; Reunion
Big Fish,Billy Cuddup; Albert Finney; Jessica Lange; Ewan MacGregor; Danny DeVito,Tim Burton,Fantasy Drama
Big Jake,John Wayne; Richard Boone; Maureen O'Hara; Chris Mitchem; Patrick Wayne,,Western
Big Kahuna,Danny Devito; Kevin Spacey,,Drama; Deep Psychology:  Salesman life
Big Mouth,Jerry Lewis,,Comedy
Big Sleep,Robert Mitchum,Raymond Chandler,Mystery; Sam Spade
Big Short,Christian Bale; Brad Pitt; Steve Carell; Ryan Gosling; Marisa Tomei,Adam McKay,True Story; on 2008 Wall Street Real Estate Scandal
Big Store,Marx Brothers; Margaret Dumont,,Comedy
Big Trouble,,,
Billy Bathgate,Dustin Hoffman; Bruce Willis; Stephen Hill,,Gangster
Billy Jack,,,Street Fighting
Billy Two Hats,,,Western
Biloxi Blues,Matthew Broderick; Christopher Walken,Neil Simon,Comedy; WWII
Birdman,Michael Keaton; Ed Norton; Naomi Watts,,Drama; disturbed actor
Birds,,Alfred Hitchcock,Drama
Black Bird,,,Comedy; Detective
Blackhat,Chris Hemsworth,Michael Mann,Action; Cyber criminals
Black Mass,Johnny Depp; Benedict Cumberbatch; Kevin Bacon,,Boston mobster James Whitey Bulgar
Black Rain,Michael Douglas; Andy Garcia,,Japanese Mafia
Black Sheep,David Spade; Chris Farley,,Comedy
Black Sunday,Bruce Dern; Sophia Loren,,Football
BladeRunner,Harrison Ford; Sean Young; Darryl Hannah; M. Emmitt Smith,Ridley Scott,Science Fiction
Blazing Saddles,Cleon Little; Slim Pickens,Mel Brooks,Western; Comedy
Blindfold: Acts of Obsession,Shannon Doherty; Judd Nelson,,Suspense
Blood Diamond,Leonardo DeCaprio; Martin Sheen; Jennifer Connally,,Drama; Africa Civil War
Blood Simple,Frances MacDormand; John Getz; Dan Hedaya,Joel Coen,Drama; Murder
Blood Work,Clint Eastwood; Jeff Daniels; Angelica Huston,Clint Eastwood,Drama; Detective
Blow,Johnny Depp; Penelope Cruz; Ray Liotta,,Cocaine Dealers
Blowout,John Travolta,,Action; Mystery
BlowUo,David Cummings; Vanessa Redgrave; Sara Miles,,Drama; Photographer and Murder
Blue City,Judd Nelson; Ally Sheedy,,Action
Blue Steel,Jamie Lee Curtis,,Cops
Blue Thunder,Robert Mitchum,,Racing
Blues Brothers,John Belushi; Dan Aykroyd,,Comedy; Musical
Bobby,William H Macy; Sharon Stone; Heather Graham; Emilio Estevez; Demi Moore; Nick Cannon; Christian Slater; Freddy Rodriguez; Anthony Hopkins; Laurence Fishburne; Harry Belafonte; Martin Sheen; Helen Hunt;Freddy Rodriguez; Lindsay Lohan; Elijah Wood,Emilio Estevez,RFK Assasination
Bobby Jones:  Stroke of Genius,Jim Caviezel; Claire Forlani; Malcolm McDowell,,Golf Bobby Jones Biography
Body of Evidence,,,
Bodyguard,Whitney Houston; Kevin Costner,Lawrence Kasdan,Drama; Crazy music fans
Bonnie & Clyde,Warren Beatty; Faye Dunaway,,Bank Robbers
Boomerang,Eddie Murphy,,Comedy; Office Work
Borat,,,Comedy; Muslim coming to America
Bordertown,Jennifer Lopez; Martin Sheen,,Drama; NAFTA/Factory Slavery
Born Free,,,Drama
Born Losers,,,Billy Jack Street Fighting
Bound,Jennifer Tilly,,Drama; Mafia & Con Man
Bourne Identity,Matt Damon,Doug Liman,CIA- amnesia
Bourne Supremacy,Matt Damon; Brian Cox; Julia Stiles; Joan Allen,,Action CIA
Boy Ten Feet Tall,,,Drama; Children
Boys From Brazil,,,Drama; Hitler & Cloning
Boyz in the Hood,Cuba Gooding; Jr.; Lawrence Fishburne,,Gangster
Brainstorm,Christopher Walken; Louise Fletcher; Natalie Wood; Cliff Robertson,,Science Fiction; brainwashing
Brannigan,John Wayne,,Cops
Brass Bottle,Tony Randall,,Comedy
Breach,Chris Cooper; Rich Phillipe; Laura Linney; Kathleen Quinlan,Billy Ray,True Story; FBI Mole
Breakfast at Tiffany's,George Peppard,,Romantic Drama
Breakfast Club,Judd Nelson; Emilio Estevez; Anthony Michael Hall; Molly Ringwald; Ally Sheedy,,Drama; High School
Breakheart Pass,Charles Bronson,Alistair MacLean,Western; Mystery 
Breakin',,,Dancing Drama
Breaking Away,David Stern,,Action
Breaking Training,Walter Matthau; Jodie Foster,,Bad News Bears Baseball
Breaking Up,,,
Breakout,Charles Bronson,,Drama
Breakup,Jennifer Aniston; Vince Vaughn; Ann Margret,,Romantic comedy
Breathless,Richard Gere,,Drama
Brewster McCloud,,,
Brewster Millions,Gene Wilder; Richard Pryor,,Comedy
